Date-Hour(NMT),WindSpeed,Sunshine,AirPressure,Radiation,AirTemperature,RelativeAirHumidity,SystemProduction
01.01.2017-00:00,0.6,0,1003.8,-7.4,0.1,97,0
01.01.2017-01:00,1.7,0,1003.5,-7.4,-0.2,98,0
01.01.2017-02:00,0.6,0,1003.4,-6.7,-1.2,99,0
01.01.2017-03:00,2.4,0,1003.3,-7.2,-1.3,99,0
01.01.2017-04:00,4,0,1003.1,-6.3,3.6,67,0
01.01.2017-05:00,1.4,0,1003.1,-6.8,1.5,74,0
01.01.2017-06:00,1.4,0,1003.7,-7,0.4,79,0
01.01.2017-07:00,1.3,0,1003.9,-7,-0.9,81,0
01.01.2017-08:00,0.6,0,1004.3,-6.6,-1,77,0
01.01.2017-09:00,0.6,0,1004.8,-6.5,-2,81,0
01.01.2017-10:00,0.4,0,1005.2,-0.8,-1.9,80,0
01.01.2017-11:00,1.1,46,1005.8,49.7,-0.2,74,215.8333
01.01.2017-12:00,1.2,60,1006.1,138.7,1.8,72,831.6667
01.01.2017-13:00,0.4,59,1006.1,121.6,2.7,66,349.5
01.01.2017-14:00,4,55,1006.5,77,5,49,272
01.01.2017-15:00,2.7,26,1007.6,33.1,4.8,48,130.2083
01.01.2017-16:00,2.5,16,1008.5,-1.1,3.8,49,0
01.01.2017-17:00,3.8,0,1009.1,-7,3.2,50,0
01.01.2017-18:00,4.7,0,1010,-6.3,3.2,48,0
01.01.2017-19:00,4.2,0,1011.2,-6.2,2.8,48,0
01.01.2017-20:00,4.8,0,1012.2,-6,2.3,47,0
01.01.2017-21:00,3.3,0,1012.7,-6.6,1.5,48,0
01.01.2017-22:00,4,0,1013.1,-6.4,1.1,47,0
01.01.2017-23:00,2.6,0,1013.4,-6.6,0.5,48,0
02.01.2017-00:00,1.2,0,1013.6,-7.6,-2.1,61,0
